"probs","geography","gender","numofproducts","hascrcard","isactivemember","exited","creditscore_bin","age_bin","tenure_bin","balance_bin","estimatedsalary_bin"
0.936,"Spain","Male",2,1,1,0,"<350","18-35","+7","100K-130K","100K-150K"
0.86,"Spain","Male",1,1,0,0,"600-850","35-45","+7","100K-130K","<50K"
0.092,"Spain","Female",1,0,0,1,"<350","35-45","<3","<100K","+150K"
0.028,"France","Female",2,1,1,0,"350-600","45+","+7","<100K","+150K"
0.748,"France","Female",2,1,0,0,"350-600","35-45","<3","<100K","100K-150K"
0.008,"Germany","Male",1,1,1,1,"<350","45+","5-7","130K-170K","50K-100K"
0.012,"Germany","Male",2,1,1,0,"350-600","35-45","5-7","100K-130K","50K-100K"
0.008,"France","Female",2,1,1,0,"350-600","18-35","+7","<100K","<50K"
0.016,"France","Male",1,1,1,0,"600-850","45+","+7","<100K","50K-100K"
0.016,"France","Female",1,1,0,0,"350-600","35-45","+7","<100K","100K-150K"
0.036,"Spain","Female",1,0,0,1,"350-600","35-45","+7","<100K","100K-150K"
0.984,"France","Female",1,0,1,0,"350-600","18-35","<3","130K-170K","100K-150K"
0.02,"France","Male",2,1,1,0,"600-850","35-45","+7","130K-170K","50K-100K"
0.112,"Germany","Male",1,1,0,1,"<350","45+","+7","100K-130K","<50K"
0.016,"Spain","Male",2,1,1,0,"350-600","35-45","<3","<100K","100K-150K"
0.048,"Germany","Male",1,1,1,1,"600-850","18-35","<3","130K-170K","+150K"
0.012,"Spain","Male",1,1,0,0,"350-600","18-35","3-5","<100K","<50K"
0.704,"France","Male",1,1,0,0,"350-600","35-45","+7","130K-170K","50K-100K"
0.008,"Germany","Female",1,1,1,0,"600-850","35-45","3-5","130K-170K","<50K"
0.924,"Germany","Male",1,1,0,1,"600-850","45+","3-5","130K-170K","50K-100K"
0.02,"Germany","Female",2,1,1,0,"350-600","18-35","<3","100K-130K","100K-150K"
0.008,"Germany","Male",2,1,0,0,"350-600","35-45","3-5","130K-170K","50K-100K"
0.004,"France","Female",2,1,1,0,"350-600","18-35","3-5","130K-170K","50K-100K"
0.116,"France","Male",1,0,0,0,"<350","35-45","3-5","<100K","100K-150K"
0,"France","Female",2,1,1,0,"350-600","45+","5-7","<100K","100K-150K"
0.112,"France","Female",1,1,1,1,"350-600","18-35","5-7","<100K","<50K"
0.108,"Germany","Male",1,1,0,1,"<350","35-45","+7","130K-170K","50K-100K"
0,"Germany","Male",1,1,1,0,"600-850","35-45","+7","130K-170K","<50K"
0.792,"France","Male",1,0,1,0,"350-600","45+","<3","<100K","100K-150K"
0.02,"France","Male",1,1,1,0,"<350","18-35","5-7","130K-170K","<50K"
0.008,"Spain","Male",1,1,0,0,"<350","35-45","+7","130K-170K","+150K"
0.14,"France","Male",2,0,1,0,"350-600","35-45","+7","<100K","100K-150K"
0.756,"Spain","Male",2,0,0,0,"600-850","35-45","+7","<100K","50K-100K"
0.828,"Spain","Male",2,0,1,0,"<350","35-45","5-7","<100K","<50K"
0.1,"Spain","Male",1,0,0,0,"350-600","18-35","<3","<100K","50K-100K"
0.168,"France","Female",2,1,1,0,"350-600","45+","+7","<100K","+150K"
0.008,"France","Female",1,1,1,0,"600-850","18-35","5-7","<100K","50K-100K"
0.284,"Spain","Male",1,0,0,0,"<350","35-45","5-7","130K-170K","100K-150K"
0.024,"France","Male",1,1,1,0,"<350","18-35","5-7","100K-130K","+150K"
0.048,"Germany","Male",1,1,1,1,"350-600","45+","3-5","130K-170K","50K-100K"
0.74,"Spain","Male",1,1,1,0,"<350","35-45","5-7","130K-170K","<50K"
0.132,"France","Female",2,1,0,1,"350-600","35-45","5-7","130K-170K","+150K"
0.152,"France","Male",1,1,0,0,"350-600","35-45","3-5","<100K","+150K"
0,"France","Male",2,1,1,0,"600-850","35-45","5-7","<100K","50K-100K"
0.044,"Germany","Male",1,1,0,1,"<350","18-35","<3","100K-130K","50K-100K"
0.02,"France","Male",1,1,1,0,"350-600","18-35","<3","<100K","+150K"
0.856,"Germany","Male",1,1,0,0,"350-600","18-35","+7","100K-130K","+150K"
0.9,"Germany","Female",4,1,1,1,"350-600","45+","<3","100K-130K","<50K"
0.94,"France","Male",1,0,0,1,"350-600","45+","+7","<100K","+150K"
0.724,"Spain","Female",2,1,0,0,"350-600","18-35","+7","<100K","100K-150K"
0.112,"Germany","Female",1,1,0,1,"600-850","45+","5-7","100K-130K","<50K"
0.004,"France","Female",1,1,1,0,"<350","45+","3-5","100K-130K","<50K"
0.796,"Spain","Male",2,0,1,0,"350-600","45+","<3","<100K","+150K"
0.712,"Spain","Male",1,1,0,1,"350-600","45+","+7","<100K","+150K"
0.052,"France","Male",1,1,1,0,"350-600","45+","+7","130K-170K","50K-100K"
0.024,"France","Female",1,1,1,0,"600-850","18-35","3-5","<100K","+150K"
0.188,"France","Female",2,1,0,0,"350-600","35-45","5-7","130K-170K","50K-100K"
0.06,"France","Female",1,1,0,0,"<350","18-35","3-5","130K-170K","50K-100K"
0.004,"France","Female",1,1,0,1,"350-600","35-45","3-5","<100K","+150K"
0.024,"Spain","Male",2,1,1,0,"<350","18-35","5-7","<100K","+150K"
0.976,"France","Male",2,1,0,0,"<350","35-45","+7","<100K","<50K"
0.012,"France","Male",1,1,0,0,"600-850","18-35","3-5","100K-130K","50K-100K"
0.192,"France","Male",2,1,0,0,"350-600","45+","+7","<100K","+150K"
0.156,"Germany","Female",1,1,1,0,"600-850","35-45","3-5","130K-170K","<50K"
0.936,"Germany","Female",2,1,0,0,"<350","18-35","3-5","100K-130K","100K-150K"
0.02,"Germany","Female",1,1,0,0,"350-600","35-45","+7","<100K","+150K"
0.02,"France","Male",1,1,1,0,"350-600","35-45","+7","<100K","100K-150K"
0.752,"France","Female",2,1,1,0,"600-850","18-35","+7","<100K","+150K"
0.012,"France","Female",1,1,0,0,"600-850","35-45","+7","100K-130K","100K-150K"
0.764,"Germany","Female",2,0,0,0,"350-600","18-35","3-5","130K-170K","50K-100K"
0,"Spain","Male",1,1,1,0,"<350","35-45","+7","<100K","50K-100K"
0.048,"France","Male",2,0,1,0,"350-600","45+","+7","<100K","50K-100K"
0.076,"Germany","Male",2,1,1,0,"<350","18-35","3-5","100K-130K","+150K"
0.72,"Germany","Female",2,0,0,0,"<350","18-35","+7","130K-170K","50K-100K"
0.108,"Germany","Female",1,0,1,0,"600-850","18-35","<3","<100K","+150K"
0.088,"Spain","Female",2,0,1,0,"350-600","18-35","5-7","<100K","<50K"
0.8,"France","Male",1,1,1,0,"350-600","18-35","+7","100K-130K","100K-150K"
0.096,"Spain","Male",2,1,0,0,"600-850","18-35","+7","<100K","+150K"
0.052,"Germany","Female",2,0,1,0,"600-850","45+","+7","130K-170K","50K-100K"
0.144,"Spain","Female",2,0,1,0,"350-600","18-35","5-7","<100K","+150K"
0.82,"Germany","Female",1,1,1,1,"<350","45+","5-7","130K-170K","+150K"
0.02,"France","Female",3,0,0,1,"<350","35-45","5-7","<100K","100K-150K"
0.076,"Germany","Female",2,0,1,0,"600-850","18-35","5-7","130K-170K","50K-100K"
0.024,"Spain","Male",2,0,1,0,"600-850","18-35","+7","<100K","50K-100K"
0.008,"France","Female",1,1,1,0,"350-600","35-45","<3","130K-170K","100K-150K"
0.096,"France","Male",1,1,0,0,"350-600","18-35","<3","100K-130K","100K-150K"
0.708,"France","Female",1,1,0,0,"350-600","35-45","<3","<100K","<50K"
0.016,"Spain","Female",2,1,1,0,"<350","35-45","<3","<100K","100K-150K"
0,"Spain","Female",1,1,1,0,"350-600","18-35","5-7","<100K","+150K"
0.112,"France","Male",2,0,0,0,"600-850","18-35","3-5","<100K","+150K"
0.016,"Spain","Male",1,0,0,0,"600-850","35-45","+7","100K-130K","100K-150K"
0.98,"Germany","Male",2,1,1,0,"350-600","35-45","5-7","+170K","50K-100K"
0.084,"Spain","Female",1,0,1,0,"<350","18-35","5-7","+170K","+150K"
0.072,"Germany","Female",1,0,1,1,"350-600","45+","5-7","<100K","<50K"
0.796,"Spain","Male",1,1,1,0,"350-600","35-45","<3","<100K","100K-150K"
0.94,"Spain","Male",2,0,1,0,"<350","18-35","+7","<100K","+150K"
0.912,"Spain","Female",1,0,1,0,"<350","35-45","5-7","130K-170K","+150K"
0.948,"Germany","Female",1,1,0,0,"350-600","35-45","5-7","<100K","<50K"
0.028,"Germany","Female",1,1,1,0,"<350","45+","+7","100K-130K","50K-100K"
0.012,"France","Male",1,1,1,0,"600-850","18-35","+7","+170K","+150K"
0.828,"Germany","Male",1,1,1,0,"<350","35-45","+7","100K-130K","50K-100K"
0.628,"France","Female",2,1,0,0,"600-850","18-35","5-7","<100K","+150K"
0.048,"France","Female",1,1,1,1,"<350","35-45","<3","100K-130K","50K-100K"
0.224,"Germany","Male",2,1,0,0,"350-600","18-35","3-5","+170K","100K-150K"
0.008,"France","Male",1,0,0,0,"350-600","18-35","<3","130K-170K","100K-150K"
0.016,"Spain","Female",2,1,1,0,"<350","18-35","<3","<100K","<50K"
0.024,"Germany","Male",1,1,1,0,"<350","18-35","<3","<100K","<50K"
0.004,"France","Male",2,1,0,1,"600-850","35-45","<3","<100K","<50K"
0.856,"Germany","Male",2,1,0,0,"350-600","18-35","+7","+170K","100K-150K"
0.1,"Spain","Male",2,1,0,0,"<350","18-35","5-7","<100K","<50K"
0.04,"France","Female",1,1,1,0,"600-850","35-45","<3","130K-170K","100K-150K"
0.128,"France","Female",1,1,0,0,"600-850","35-45","+7","<100K","+150K"
0.02,"Germany","Female",1,0,1,0,"<350","18-35","5-7","130K-170K","<50K"
0.056,"France","Female",4,0,1,1,"350-600","45+","+7","+170K","100K-150K"
0.664,"Germany","Male",1,1,1,0,"350-600","18-35","5-7","<100K","100K-150K"
0,"France","Male",2,1,1,0,"<350","45+","+7","100K-130K","+150K"
0,"France","Male",2,1,0,0,"600-850","35-45","<3","<100K","+150K"
0.156,"Germany","Male",1,0,1,0,"350-600","18-35","+7","<100K","+150K"
0.06,"France","Female",2,1,0,0,"600-850","18-35","+7","<100K","50K-100K"
0.024,"Germany","Female",2,1,0,0,"350-600","35-45","+7","100K-130K","<50K"
0.22,"France","Female",2,1,1,0,"<350","35-45","+7","<100K","50K-100K"
0.016,"Spain","Male",1,1,1,0,"350-600","18-35","5-7","130K-170K","50K-100K"
0.724,"Spain","Female",2,1,1,0,"350-600","45+","<3","<100K","50K-100K"
0.02,"Germany","Female",2,1,0,0,"<350","35-45","+7","<100K","50K-100K"
0.704,"France","Male",2,1,1,0,"350-600","35-45","5-7","100K-130K","50K-100K"
0.72,"Spain","Female",2,1,1,1,"350-600","35-45","5-7","<100K","100K-150K"
0.916,"France","Female",2,1,1,0,"<350","18-35","<3","<100K","+150K"
0.004,"France","Female",2,1,1,0,"<350","18-35","+7","<100K","<50K"
0,"Spain","Female",1,1,1,1,"350-600","18-35","+7","100K-130K","100K-150K"
0.048,"Spain","Female",1,1,1,0,"600-850","18-35","<3","<100K","50K-100K"
0.696,"France","Male",2,0,0,0,"600-850","18-35","+7","<100K","<50K"
0.1,"France","Female",2,1,0,0,"600-850","18-35","+7","<100K","100K-150K"
0.696,"Spain","Male",2,1,1,0,"<350","18-35","<3","<100K","50K-100K"
0.936,"France","Male",1,1,1,0,"600-850","45+","+7","100K-130K","+150K"
0.856,"Germany","Female",1,1,1,0,"350-600","18-35","+7","100K-130K","50K-100K"
0.076,"France","Male",2,0,0,0,"350-600","35-45","<3","<100K","100K-150K"
0.052,"Germany","Female",1,1,0,0,"<350","35-45","3-5","<100K","<50K"
0.164,"France","Female",2,1,1,0,"<350","18-35","+7","<100K","<50K"
0.104,"France","Male",1,0,1,0,"<350","18-35","+7","130K-170K","50K-100K"
0.944,"France","Male",2,1,1,0,"600-850","35-45","<3","<100K","+150K"
0.076,"France","Female",2,0,0,0,"600-850","18-35","5-7","<100K","<50K"
0.072,"Spain","Male",1,0,0,1,"350-600","35-45","<3","+170K","<50K"
0.008,"France","Female",2,1,0,0,"<350","35-45","<3","130K-170K","+150K"
0.008,"Spain","Male",1,0,1,0,"350-600","18-35","+7","<100K","50K-100K"
0.016,"France","Female",2,0,1,1,"600-850","45+","+7","100K-130K","+150K"
0.036,"France","Male",1,1,0,1,"<350","45+","3-5","<100K","+150K"
0.66,"France","Female",1,0,1,0,"<350","35-45","+7","130K-170K","<50K"
0.012,"France","Male",1,1,0,0,"600-850","35-45","3-5","<100K","+150K"
0.044,"Spain","Female",2,1,0,0,"350-600","35-45","5-7","100K-130K","50K-100K"
0.028,"Spain","Male",2,1,0,0,"600-850","35-45","5-7","<100K","<50K"
0.008,"France","Male",1,1,0,0,"350-600","18-35","<3","<100K","<50K"
0.028,"France","Male",2,1,1,0,"600-850","18-35","5-7","<100K","<50K"
0.716,"France","Male",3,1,1,0,"600-850","18-35","<3","<100K","<50K"
0.012,"France","Female",2,0,0,0,"<350","35-45","5-7","<100K","100K-150K"
0.024,"France","Male",2,1,0,0,"<350","35-45","5-7","<100K","+150K"
0.004,"Germany","Male",1,1,1,0,"<350","45+","5-7","100K-130K","100K-150K"
0.036,"Spain","Female",1,1,1,0,"350-600","18-35","3-5","<100K","+150K"
0.024,"France","Male",1,1,0,0,"350-600","18-35","<3","<100K","<50K"
0.064,"Spain","Male",1,1,0,0,"350-600","35-45","+7","100K-130K","+150K"
0.064,"Germany","Male",1,1,0,0,"<350","18-35","5-7","100K-130K","100K-150K"
0.044,"Spain","Male",2,1,1,0,"350-600","45+","5-7","+170K","+150K"
0.92,"Spain","Female",2,1,0,0,"<350","18-35","<3","<100K","100K-150K"
0.064,"Germany","Male",2,1,0,0,"350-600","18-35","3-5","+170K","100K-150K"
0,"Spain","Male",2,0,1,0,"350-600","18-35","<3","<100K","100K-150K"
0.06,"France","Male",1,1,1,0,"600-850","45+","+7","<100K","100K-150K"
0.044,"France","Male",1,1,1,0,"600-850","45+","<3","100K-130K","+150K"
0.188,"France","Female",1,1,0,0,"<350","35-45","+7","<100K","100K-150K"
0.9,"Germany","Female",2,1,0,0,"<350","35-45","3-5","130K-170K","<50K"
0.044,"Spain","Female",2,1,1,0,"350-600","18-35","+7","<100K","50K-100K"
0.024,"France","Male",1,1,0,0,"600-850","18-35","<3","+170K","<50K"
0.012,"Germany","Male",2,1,1,0,"600-850","18-35","5-7","<100K","100K-150K"
0.712,"France","Female",1,1,0,1,"600-850","45+","+7","100K-130K","+150K"
0.144,"Spain","Male",1,0,1,1,"<350","45+","5-7","<100K","100K-150K"
0.04,"France","Female",1,1,0,1,"<350","45+","3-5","130K-170K","+150K"
0.092,"Germany","Male",2,1,1,1,"350-600","18-35","5-7","100K-130K","<50K"
0.036,"France","Male",2,1,1,0,"350-600","35-45","<3","<100K","+150K"
0.028,"Germany","Female",2,0,1,0,"600-850","18-35","5-7","<100K","50K-100K"
0.008,"France","Male",2,1,0,0,"600-850","18-35","+7","<100K","100K-150K"
0.04,"France","Female",1,1,0,1,"600-850","45+","3-5","<100K","<50K"
0.052,"Germany","Female",1,1,1,0,"<350","18-35","<3","130K-170K","<50K"
0.036,"Germany","Female",1,1,1,0,"600-850","18-35","5-7","<100K","+150K"
0,"Spain","Male",2,0,0,0,"350-600","35-45","+7","130K-170K","50K-100K"
0.024,"France","Male",2,1,1,0,"350-600","18-35","5-7","<100K","+150K"
0.028,"France","Male",1,1,0,0,"350-600","18-35","5-7","<100K","+150K"
0.044,"Spain","Female",2,1,0,0,"350-600","18-35","3-5","<100K","+150K"
0.068,"Spain","Female",2,1,0,0,"<350","45+","+7","<100K","<50K"
0.04,"Spain","Female",1,1,0,0,"350-600","35-45","<3","130K-170K","<50K"
0.08,"France","Female",2,1,1,0,"350-600","45+","<3","<100K","50K-100K"
0.092,"France","Male",1,1,1,0,"600-850","35-45","+7","100K-130K","50K-100K"
0.032,"Spain","Male",1,1,0,0,"600-850","35-45","5-7","100K-130K","50K-100K"
0.024,"France","Male",2,1,0,0,"600-850","18-35","+7","<100K","50K-100K"
0.68,"Spain","Female",3,1,1,1,"600-850","45+","<3","<100K","+150K"
0,"France","Male",2,1,1,0,"350-600","18-35","3-5","130K-170K","50K-100K"
0.932,"Spain","Male",2,0,0,0,"<350","18-35","3-5","<100K","<50K"
0.012,"Spain","Male",1,1,1,0,"<350","35-45","5-7","<100K","<50K"
0.056,"France","Female",1,1,0,1,"<350","35-45","<3","+170K","100K-150K"
0.016,"France","Female",2,0,1,0,"350-600","45+","+7","<100K","50K-100K"
0.012,"France","Female",4,1,0,1,"350-600","45+","5-7","130K-170K","+150K"
0.032,"France","Male",1,0,0,0,"<350","18-35","+7","130K-170K","100K-150K"
0.76,"Germany","Female",2,1,0,1,"<350","45+","+7","<100K","+150K"
0.02,"France","Male",1,1,0,0,"<350","18-35","+7","<100K","+150K"
0.112,"Germany","Male",1,1,0,0,"<350","18-35","5-7","130K-170K","+150K"
0.792,"Germany","Male",1,0,1,1,"350-600","18-35","<3","100K-130K","+150K"
0.084,"France","Male",1,1,1,0,"350-600","18-35","<3","100K-130K","+150K"
0.148,"France","Female",1,0,0,1,"350-600","45+","+7","100K-130K","+150K"
0.844,"France","Male",2,1,0,0,"<350","18-35","<3","<100K","100K-150K"
0.968,"Germany","Female",1,0,0,1,"600-850","45+","3-5","100K-130K","50K-100K"
0.056,"France","Female",1,1,0,0,"350-600","35-45","+7","<100K","<50K"
0.012,"France","Male",2,0,1,0,"<350","18-35","+7","<100K","50K-100K"
0.02,"Spain","Male",1,0,1,0,"<350","35-45","<3","100K-130K","50K-100K"
0.696,"Germany","Female",1,1,0,1,"600-850","35-45","5-7","100K-130K","50K-100K"
0.004,"France","Male",1,1,1,0,"600-850","18-35","3-5","100K-130K","50K-100K"
0.008,"France","Female",1,1,0,0,"350-600","18-35","<3","100K-130K","50K-100K"
0.844,"Germany","Female",2,0,0,0,"600-850","45+","5-7","130K-170K","+150K"
0.776,"France","Female",1,1,1,0,"350-600","35-45","5-7","100K-130K","50K-100K"
0.948,"France","Male",2,1,1,0,"600-850","18-35","+7","<100K","+150K"
0.02,"Germany","Female",1,1,1,1,"600-850","18-35","+7","100K-130K","100K-150K"
0,"Germany","Female",1,1,1,1,"<350","35-45","+7","130K-170K","100K-150K"
0.028,"Spain","Male",1,0,0,0,"350-600","18-35","5-7","130K-170K","50K-100K"
0.672,"Germany","Male",1,1,0,0,"<350","18-35","3-5","100K-130K","50K-100K"
0.04,"France","Male",2,1,0,0,"600-850","35-45","3-5","100K-130K","+150K"
0.004,"Germany","Female",1,1,0,0,"600-850","35-45","+7","<100K","50K-100K"
0.032,"Germany","Female",2,1,1,0,"600-850","45+","3-5","<100K","100K-150K"
0.116,"Spain","Male",1,1,1,0,"350-600","35-45","5-7","100K-130K","<50K"
0.148,"Spain","Male",1,0,1,0,"600-850","35-45","5-7","130K-170K","<50K"
0.832,"Spain","Male",1,0,1,0,"600-850","35-45","<3","130K-170K","100K-150K"
0.008,"Spain","Male",2,1,0,0,"350-600","35-45","+7","<100K","50K-100K"
0.008,"France","Female",2,0,1,0,"350-600","18-35","+7","100K-130K","50K-100K"
0.908,"France","Male",2,1,1,0,"600-850","18-35","+7","<100K","100K-150K"
0.02,"Germany","Male",1,1,1,1,"600-850","35-45","5-7","100K-130K","+150K"
0.036,"France","Male",1,1,0,1,"600-850","18-35","5-7","<100K","100K-150K"
0.02,"Germany","Male",4,0,1,1,"350-600","35-45","5-7","130K-170K","100K-150K"
0.88,"Spain","Female",3,0,1,1,"350-600","45+","5-7","100K-130K","+150K"
0.132,"Germany","Male",2,0,0,0,"600-850","35-45","<3","<100K","50K-100K"
0.004,"Germany","Female",2,0,1,0,"350-600","35-45","<3","130K-170K","<50K"
0,"Spain","Female",2,0,1,0,"600-850","18-35","5-7","<100K","50K-100K"
0.092,"France","Male",1,0,0,0,"600-850","35-45","+7","<100K","+150K"
0.02,"Germany","Male",2,1,0,0,"<350","35-45","<3","130K-170K","+150K"
0.024,"France","Male",1,1,0,0,"350-600","35-45","+7","<100K","<50K"
0.02,"Spain","Female",2,1,1,0,"350-600","35-45","+7","<100K","+150K"
0.016,"Spain","Female",1,0,0,0,"600-850","35-45","3-5","<100K","<50K"
0.704,"France","Female",2,1,0,0,"<350","18-35","5-7","130K-170K","+150K"
0.22,"France","Male",1,1,0,0,"600-850","18-35","<3","130K-170K","50K-100K"
0.012,"France","Female",1,0,1,0,"<350","45+","+7","<100K","50K-100K"
0.052,"France","Male",2,1,1,0,"350-600","18-35","3-5","<100K","100K-150K"
0.132,"France","Female",2,1,0,0,"600-850","18-35","5-7","<100K","<50K"
0.976,"France","Male",2,0,0,0,"600-850","45+","+7","<100K","50K-100K"
0.696,"Spain","Female",2,0,1,0,"<350","18-35","+7","<100K","<50K"
0.912,"France","Male",1,0,0,1,"<350","18-35","5-7","100K-130K","50K-100K"
0.028,"Spain","Male",1,1,0,1,"600-850","45+","+7","<100K","50K-100K"
0.084,"Spain","Female",1,0,1,0,"350-600","35-45","+7","130K-170K","+150K"
0.04,"Germany","Female",1,0,0,1,"350-600","45+","3-5","<100K","50K-100K"
0.824,"France","Female",2,1,0,0,"<350","18-35","<3","<100K","100K-150K"
0.008,"France","Male",1,1,0,1,"350-600","18-35","+7","100K-130K","+150K"
0.684,"France","Female",2,1,0,0,"350-600","18-35","5-7","<100K","<50K"
0.036,"France","Male",2,1,0,0,"350-600","18-35","+7","<100K","100K-150K"
0.008,"Germany","Male",1,0,1,0,"350-600","18-35","3-5","<100K","50K-100K"
0.056,"France","Male",2,1,1,0,"<350","45+","<3","+170K","+150K"
0.02,"Germany","Female",1,1,0,0,"600-850","18-35","<3","130K-170K","+150K"
0.924,"France","Male",1,0,0,0,"350-600","18-35","<3","130K-170K","+150K"
0.056,"Spain","Female",2,0,0,0,"350-600","18-35","<3","<100K","100K-150K"
0.032,"France","Male",1,1,1,0,"<350","18-35","<3","<100K","<50K"
0.916,"France","Female",1,0,1,0,"600-850","35-45","3-5","130K-170K","100K-150K"
0.764,"Spain","Female",2,0,1,0,"<350","45+","<3","100K-130K","100K-150K"
0.94,"Germany","Male",2,0,1,0,"600-850","18-35","5-7","130K-170K","100K-150K"
0.036,"Germany","Female",2,1,0,1,"350-600","35-45","5-7","130K-170K","50K-100K"
0.036,"Spain","Female",2,1,1,0,"350-600","45+","3-5","<100K","50K-100K"
0.004,"Germany","Female",2,1,0,0,"<350","35-45","+7","<100K","100K-150K"
0.728,"France","Female",3,1,0,1,"<350","35-45","<3","130K-170K","<50K"
0.072,"Spain","Female",2,1,0,1,"350-600","45+","5-7","<100K","+150K"
0.016,"Spain","Female",1,1,0,0,"<350","18-35","3-5","<100K","100K-150K"
0.04,"Spain","Male",2,1,1,0,"350-600","18-35","3-5","<100K","50K-100K"
0.648,"Germany","Female",2,1,1,0,"350-600","35-45","<3","100K-130K","50K-100K"
0.824,"France","Male",2,1,1,0,"600-850","35-45","<3","<100K","100K-150K"
0.008,"Spain","Female",2,0,0,0,"600-850","18-35","3-5","130K-170K","100K-150K"
0.052,"Spain","Male",1,1,1,0,"600-850","35-45","3-5","100K-130K","+150K"
0.096,"France","Male",1,0,1,0,"<350","18-35","<3","100K-130K","100K-150K"
0.66,"France","Female",1,1,1,1,"<350","45+","<3","<100K","<50K"
0.004,"France","Male",1,1,1,1,"<350","45+","3-5","<100K","100K-150K"
0.008,"France","Male",1,1,1,0,"350-600","45+","5-7","100K-130K","+150K"
0.012,"Spain","Male",2,1,0,0,"<350","35-45","3-5","<100K","100K-150K"
0.04,"Spain","Male",2,1,0,1,"600-850","35-45","<3","<100K","50K-100K"
0.16,"France","Male",4,0,0,1,"600-850","18-35","+7","100K-130K","+150K"
0.008,"Germany","Male",1,1,1,1,"<350","35-45","<3","100K-130K","50K-100K"
0.06,"France","Male",2,1,1,0,"600-850","35-45","3-5","<100K","<50K"
0.86,"France","Male",1,1,1,1,"350-600","35-45","5-7","<100K","<50K"
0.764,"Spain","Female",2,0,1,0,"600-850","18-35","3-5","+170K","<50K"
0.02,"Germany","Male",3,0,1,1,"<350","45+","3-5","<100K","+150K"
0.036,"Germany","Female",1,0,1,0,"600-850","35-45","3-5","100K-130K","<50K"
0.024,"France","Male",1,1,0,0,"350-600","35-45","+7","130K-170K","<50K"
0.028,"Germany","Female",1,1,1,0,"600-850","18-35","+7","130K-170K","100K-150K"
0.04,"France","Male",2,1,1,1,"<350","18-35","3-5","130K-170K","<50K"
0.056,"Spain","Male",1,0,0,0,"600-850","18-35","+7","100K-130K","100K-150K"
0.9,"Spain","Female",1,0,0,0,"350-600","45+","5-7","130K-170K","100K-150K"
0.088,"Spain","Male",1,0,0,1,"600-850","18-35","<3","<100K","+150K"
0.776,"Germany","Female",2,1,1,0,"350-600","35-45","+7","100K-130K","100K-150K"
0.016,"France","Female",2,1,1,0,"<350","35-45","+7","<100K","<50K"
0.016,"France","Male",1,1,1,0,"600-850","18-35","5-7","+170K","100K-150K"
0.044,"France","Male",2,0,0,0,"600-850","18-35","+7","<100K","<50K"
0.3,"France","Male",2,1,0,0,"<350","35-45","5-7","<100K","+150K"
0.108,"Germany","Female",1,1,1,0,"<350","18-35","3-5","<100K","100K-150K"
0.04,"Germany","Female",1,1,0,0,"600-850","18-35","<3","<100K","50K-100K"
0.048,"France","Female",1,1,1,0,"600-850","18-35","+7","<100K","100K-150K"
0,"Spain","Male",2,0,0,0,"600-850","18-35","+7","<100K","50K-100K"
0.028,"France","Male",1,1,1,0,"<350","35-45","<3","<100K","<50K"
0.036,"Spain","Male",1,1,1,0,"600-850","18-35","<3","130K-170K","<50K"
0.012,"Germany","Male",1,1,0,0,"<350","35-45","+7","<100K","+150K"
0.032,"Germany","Female",2,0,0,0,"600-850","18-35","+7","100K-130K","100K-150K"
0.036,"Germany","Female",1,0,1,0,"600-850","18-35","3-5","130K-170K","50K-100K"
0.008,"Germany","Male",2,0,1,0,"600-850","35-45","3-5","130K-170K","<50K"
0.144,"France","Female",2,1,0,0,"600-850","18-35","3-5","<100K","50K-100K"
0.956,"Spain","Male",1,1,1,0,"600-850","18-35","3-5","<100K","100K-150K"
0.7,"Spain","Female",2,0,1,0,"600-850","35-45","3-5","<100K","+150K"
0.068,"Germany","Male",1,1,0,1,"<350","35-45","<3","130K-170K","100K-150K"
0.66,"France","Female",2,0,0,0,"<350","18-35","+7","<100K","100K-150K"
0.044,"Germany","Female",1,0,1,0,"600-850","18-35","+7","+170K","+150K"
0.028,"Germany","Male",2,0,1,0,"350-600","35-45","5-7","130K-170K","+150K"
0.028,"France","Female",1,1,1,0,"<350","18-35","+7","100K-130K","100K-150K"
0.112,"France","Male",2,0,1,0,"<350","35-45","+7","<100K","+150K"
0.072,"France","Male",1,1,0,0,"600-850","18-35","+7","130K-170K","+150K"
0.12,"France","Male",1,1,1,0,"350-600","18-35","+7","<100K","100K-150K"
0.036,"Spain","Female",2,1,0,0,"350-600","35-45","+7","<100K","50K-100K"
0.068,"France","Male",2,0,0,0,"350-600","35-45","5-7","<100K","+150K"
0.024,"France","Male",3,1,1,1,"<350","35-45","+7","130K-170K","+150K"
0.032,"France","Male",2,1,0,1,"350-600","35-45","<3","130K-170K","<50K"
0.068,"Spain","Female",1,1,1,0,"600-850","35-45","+7","130K-170K","100K-150K"
0.112,"France","Female",1,0,1,1,"600-850","45+","<3","<100K","+150K"
0.012,"Germany","Male",1,1,0,1,"<350","45+","3-5","130K-170K","50K-100K"
0.032,"France","Male",2,1,0,0,"<350","18-35","+7","<100K","<50K"
0.176,"France","Female",1,1,1,1,"350-600","35-45","3-5","130K-170K","100K-150K"
0.056,"France","Female",1,1,1,0,"<350","18-35","<3","130K-170K","100K-150K"
0.06,"France","Male",1,1,1,0,"600-850","18-35","5-7","+170K","+150K"
0.104,"France","Female",2,1,0,0,"350-600","18-35","<3","130K-170K","+150K"
